评分,国产电影数量
40,2
40,0
40,1
40,1
40,2
30,0
50,0
40,2
40,3
50,3
50,2
30,1
20,0
40,5
50,0
40,2
50,1
40,5
50,3
30,1
40,3
10,0
30,0
30,0
10,2
30,0
20,0
20,0
40,5
10,1
40,2
20,1
50,3
40,5
40,1
30,2
40,4
20,0
10,2
20,0
40,1
40,4
30,1
20,1
40,5
40,4
20,3
40,0
30,0
20,1
20,1
30,0
20,0
40,3
30,0
20,2
20,0
30,0
20,1
10,0
30,0
20,4
30,0
30,0
40,3
10,0
50,2
10,0
30,2
10,0
30,0
20,2
20,0
40,2
10,0
10,0
20,1
40,0
10,0
10,0
20,3
20,0
20,0
20,4
10,0
40,0
20,3
40,1
20,0
20,0
20,0
20,0
10,0
20,0
10,0
20,0
40,1
40,3
30,0
40,1
30,5
40,0
30,1
50,5
50,2
30,4
10,0
40,1
10,3
30,4
40,2
10,0
20,0
40,0
30,2
40,0
50,1
10,0
40,1
30,4
40,3
40,4
30,0
30,6
30,3
40,0
50,8
30,6
30,4
30,1
50,5
40,0
30,2
10,2
40,7
20,1
50,2
30,1
30,0
30,1
50,1
30,2
30,1
30,1
40,1
50,0
20,0
40,3
30,0
40,1
30,0
30,2
30,1
30,4
50,4
50,2
30,4
40,0
20,0
30,1
30,5
20,1
40,3
40,0
50,4
30,2
20,0
10,0
50,5
30,1
40,1
10,0
30,0
30,2
40,3
20,6
30,1
40,5
30,5
10,0
50,3
10,0
40,0
40,2
30,2
40,2
40,1
30,1
50,2
10,0
40,1
30,1
20,0
30,1
