评分,国产电影数量
40,5
20,2
50,5
50,2
50,1
40,1
30,1
40,2
40,2
30,3
20,2
40,3
40,1
40,1
30,2
40,4
20,0
30,2
40,2
30,2
10,3
50,0
20,0
20,0
50,4
50,0
10,3
40,1
10,1
30,0
40,0
30,1
30,2
10,1
30,2
40,2
20,2
50,0
20,0
40,5
30,1
30,3
30,2
40,0
20,4
20,1
30,5
40,2
30,2
10,1
30,3
40,5
30,5
10,0
10,0
30,2
50,0
50,0
50,1
30,1
10,0
40,1
50,0
40,0
20,4
50,0
30,5
30,2
20,1
40,2
30,3
30,5
50,0
40,3
30,2
20,1
40,0
50,0
30,1
40,1
50,0
30,5
30,2
10,0
30,1
50,2
40,3
40,3
50,0
40,1
30,1
30,1
50,0
50,5
40,1
50,4
50,4
30,3
20,2
10,3
40,1
30,2
40,2
20,2
30,0
30,2
50,0
50,1
20,0
50,4
40,3
40,0
50,0
40,1
40,1
30,0
50,2
40,3
30,5
40,3
40,5
40,0
30,1
40,0
50,0
40,1
30,2
40,5
40,2
50,2
40,3
30,5
40,3
40,5
40,0
30,1
40,0
50,0
40,1
30,2
40,5
40,4
40,6
40,1
40,0
40,1
20,0
50,0
40,5
30,5
40,3
50,2
20,3
50,5
40,0
50,4
40,4
30,3
50,4
50,3
40,1
30,0
50,6
50,3
50,2
40,2
40,1
20,4
40,0
50,4
10,0
30,4
20,1
30,0
40,0
10,1
30,2
40,3
40,1
30,1
40,0
30,2
20,0
40,5
40,7
30,0
40,2
30,2
40,1
50,0
40,2
30,0
50,4
40,0
50,0
40,4
40,2
40,0
30,2
10,3
50,2
50,0
30,1
40,0
40,0
40,2
30,1
