评分,国产电影数量
50,0
50,1
50,2
50,0
50,4
50,3
40,1
50,0
50,1
40,2
40,3
40,1
40,1
50,0
40,2
40,1
50,1
50,0
10,1
20,3
50,1
50,1
50,2
40,4
40,2
30,1
40,1
40,2
40,4
40,2
50,3
50,0
50,0
30,0
50,3
50,0
40,0
10,1
50,2
30,2
50,2
50,0
50,3
40,2
20,0
40,3
50,2
40,0
20,2
40,1
50,1
50,2
10,0
50,0
50,1
20,1
50,0
20,0
50,1
50,0
20,1
20,3
40,0
40,2
50,0
40,3
40,3
30,5
50,0
50,3
50,2
50,0
30,0
30,0
30,0
40,3
40,0
40,0
50,0
50,2
40,1
30,1
40,2
40,1
40,0
50,1
40,1
50,0
40,1
40,0
50,6
50,1
50,2
40,0
40,3
40,2
40,4
40,4
50,2
40,3
50,1
50,0
40,3
20,2
40,2
20,0
30,0
50,0
20,0
50,1
20,6
40,4
20,0
50,0
10,1
50,1
20,0
20,1
30,2
40,4
40,3
40,1
40,4
10,0
40,0
50,3
50,0
30,3
40,1
20,3
40,0
50,4
50,1
50,4
20,0
40,3
50,0
20,0
40,1
50,0
20,0
20,0
30,1
50,0
50,1
10,0
40,1
30,3
20,1
50,0
30,3
40,2
40,0
30,2
50,0
20,3
50,1
40,0
40,5
30,2
30,2
50,2
30,2
20,0
50,3
50,2
20,0
50,0
30,0
50,0
40,5
20,0
30,3
30,0
40,1
40,6
20,1
40,3
